nu_inscricao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao
210059974482,120.0,140.0,100.0,120.0,100.0,580.0
210059982352,140.0,120.0,120.0,120.0,120.0,620.0
210060441007,120.0,100.0,80.0,80.0,80.0,460.0
210060376439,120.0,120.0,100.0,120.0,120.0,580.0
210058573847,140.0,200.0,140.0,120.0,120.0,720.0
210059974484,160.0,200.0,180.0,180.0,160.0,880.0
210060441009,60.0,120.0,80.0,60.0,0.0,320.0
210058573848,120.0,120.0,120.0,100.0,100.0,560.0
210059260087,80.0,200.0,120.0,160.0,160.0,720.0
210061244821,120.0,140.0,120.0,160.0,120.0,660.0
210061347480,160.0,200.0,180.0,180.0,160.0,880.0
210059589811,120.0,180.0,120.0,120.0,120.0,660.0
210059974485,140.0,120.0,100.0,120.0,100.0,580.0
210060441010,120.0,120.0,120.0,100.0,80.0,540.0
210059247004,140.0,140.0,140.0,140.0,120.0,680.0
210061347476,120.0,120.0,80.0,100.0,0.0,420.0
210058954689,140.0,180.0,120.0,160.0,160.0,760.0
210059982353,140.0,100.0,100.0,120.0,0.0,460.0
210060441008,140.0,180.0,140.0,140.0,160.0,760.0
210060376440,80.0,120.0,80.0,120.0,100.0,500.0
210059260086,140.0,180.0,140.0,160.0,160.0,780.0
210061244820,160.0,160.0,140.0,160.0,180.0,800.0
210059589810,120.0,120.0,100.0,100.0,140.0,580.0
210061347477,160.0,200.0,180.0,200.0,200.0,940.0
210058954691,180.0,200.0,200.0,200.0,180.0,960.0
210060811464,160.0,200.0,200.0,200.0,180.0,940.0
210059540805,60.0,60.0,60.0,80.0,20.0,280.0
210061103982,180.0,180.0,180.0,180.0,160.0,880.0
210059401165,100.0,40.0,40.0,80.0,60.0,320.0
210058073319,100.0,40.0,40.0,100.0,40.0,320.0
210059868183,160.0,200.0,200.0,200.0,200.0,960.0
210059085173,160.0,180.0,120.0,160.0,100.0,720.0
210059540806,140.0,180.0,140.0,140.0,120.0,720.0
210058387358,120.0,140.0,120.0,120.0,120.0,620.0
